adm1_en,adm1_pcode,population_total,people_affected,people_in_need,planned_reach,severity_max,response_coverage,idp_total,idp_in_need,idp_planned_reach,idp_severity_max,non_displaced_total,non_displaced_in_need,non_displaced_planned_reach,non_displaced_severity_max
Kharkivska,UA63,1803453,2026767.642459522,1250803,997251,5,0.7972886217893626,314654,400598,294383,5,1488799,850205,702868,5
Dnipropetrovska,UA12,3178714,969369.748157433,707490,506308,5,0.7156397970289333,517362,365387,206325,5,2661352,342103,299983,5
Zaporizka,UA23,797185,914948.7844835798,640234,399024,5,0.6232471252698232,162175,230692,158679,5,635010,409542,240345,5
Sumska,UA59,791358,996906.103959225,545851,437067,5,0.8007075190848785,79367,88470,66037,5,711991,457381,371030,5
Donetska,UA14,241666,448923.320498224,302815,252858,5,0.83502468503872,38677,55285,41740,5,202989,247530,211118,5
Mykolaivska,UA48,789059,486656.3767419766,297886,232749,5,0.7813358130291453,89659,102253,74301,5,699400,195633,158448,5
Kyiv,UA80,3394193,213148,184996,42875,3,0.23176176782200697,359687,184996,42875,3,3034506,0,0,3
Kyivska,UA32,2635448,198646,168548,84209,3,0.4996143531812896,348993,168548,84209,3,2286455,0,0,3
Khersonska,UA65,107352,211085.72989940672,140476,121596,5,0.8655998177624648,17253,23297,18903,5,90099,117179,102693,5
Odeska,UA51,2125236,155031,137977,68989,3,0.5000036237923712,222010,137977,68989,3,1903226,0,0,3
Lvivska,UA46,2287053,131461,117001,58501,3,0.5000042734677481,189020,117001,58501,3,2098033,0,0,3
Poltavska,UA53,1339398,125118,108114,54057,3,0.5,175588,108114,54057,3,1163810,0,0,3
Chernihivska,UA74,877451,203108.47509333258,107711,81685,5,0.7583719397276044,43954,25313,9474,5,833497,82398,72211,5
Cherkaska,UA71,1144765,92461,78628,11794,3,0.1499974563768632,129758,78628,11794,3,1015007,0,0,3
Vinnytska,UA05,1346645,88646,71599,34095,3,0.47619380158940766,124404,71599,34095,3,1222241,0,0,3
Ivano-Frankivska,UA26,1017673,69755,62082,9809,3,0.15800070874005348,100297,62082,9809,3,917376,0,0,3
Khmelnytska,UA68,1050318,65112,60289,15072,3,0.24999585330657334,93621,60289,15072,3,956697,0,0,3
Zakarpatska,UA21,841388,59270,52751,10702,3,0.20287767056548692,85221,52751,10702,3,756167,0,0,3
Kirovohradska,UA35,831830,61952,52171,26086,3,0.5000095838684326,86943,52171,26086,3,744887,0,0,3
Ternopilska,UA61,729060,53239,47383,10238,3,0.21606905430217588,76549,47383,10238,3,652511,0,0,3
Zhytomyrska,UA18,1081427,53364,42407,10107,3,0.23833329403164571,80718,42407,10107,3,1000709,0,0,3
Rivnenska,UA56,958785,39571,35218,6925,3,0.1966324038843773,55132,35218,6925,3,903653,0,0,3
Chernivetska,UA73,654523,40403,34246,16161,3,0.4719091280733516,58093,34246,16161,3,596430,0,0,3
Volynska,UA07,915568,31262,26453,11761,3,0.44459985634899635,44950,26453,11761,3,870618,0,0,3
