adm1_en,adm1_pcode,geo_zone,swath,uo_a_code,idp_all_total_joint,idp_aff_sp1_joint,idp_aff_sp2_joint,idp_aff_sp3_joint,idp_aff_sp4_joint,idp_aff_total_joint,idp_pin_sp1_joint,idp_pin_sp2_joint,idp_pin_sp3_joint,idp_pin_sp4_joint,idp_pin_total_joint,idp_sev_sp1_joint,idp_sev_sp2_joint,idp_sev_sp3_joint,idp_sev_sp4_joint,idp_sev_total_joint,idp_target_sp1_joint,idp_target_sp2_joint,idp_target_sp3_joint,idp_target_sp4_joint,idp_target_total_joint,idp_target_pr_sp1_joint,idp_target_pr_sp2_joint,idp_target_pr_sp3_joint,idp_target_pr_sp4_joint,idp_target_pr_total_joint
Vinnytska,UA05,All oblast,50+,UA05_UALL,124404,0,0,0,88646,0,0,0,0,71599,NA,0,0,3,3,3,0,0,0,34095,0,0,NA,NA,34095,NA
Volynska,UA07,All oblast,50+,UA07_UALL,44950,0,0,0,31262,0,0,0,0,26453,0,0,0,3,3,3,0,0,0,11761,0,0,NA,NA,11761,NA
Dnipropetrovska,UA12,0-20 km,0-20km,UA12_U20A,23346,23346,0,0,23346,0,21550,0,0,9161,0,5,4,5,5,5,21550,0,0,1745,0,21550,NA,NA,1745,NA
Dnipropetrovska,UA12,21-50 km,20-50km,UA12_U50A,37607,37607,0,0,27202,0,32235,0,0,25648,0,4,0,4,4,4,30643,0,0,13990,0,30643,NA,NA,13990,NA
Dnipropetrovska,UA12,51+ km,50+,UA12_U51P,456409,0,0,0,325353,0,0,0,0,276793,0,0,0,3,4,4,0,0,0,138397,0,0,NA,NA,138397,NA
Donetska,UA14,0-20 km,0-20km,UA14_U20A,28205,28205,0,0,28205,0,26237,0,0,12387,0,5,4,5,5,5,26237,0,0,2252,0,26237,NA,NA,2252,NA
Donetska,UA14,21-50 km,20-50km,UA14_U50A,10472,10472,0,0,7575,0,9425,0,0,7236,0,5,0,4,5,5,8499,0,0,4752,0,8499,NA,NA,4752,NA
Zhytomyrska,UA18,All oblast,50+,UA18_UALL,80718,0,0,0,53364,0,0,0,0,42407,0,0,0,3,3,3,0,0,0,10107,0,0,NA,NA,2021,NA
Zakarpatska,UA21,All oblast,50+,UA21_UALL,85221,0,0,0,59270,0,0,0,0,52751,0,0,0,3,3,3,0,0,0,10702,0,0,NA,NA,2140,NA
Zaporizka,UA23,0-20 km,0-20km,UA23_U20A,7270,7270,0,0,7270,0,7270,0,0,3159,0,5,4,5,5,5,7270,0,0,602,0,7270,NA,NA,602,NA
Zaporizka,UA23,21-50 km (w/o Zaporizhzhia),20-50km,UA23_U50X,22234,22234,0,0,16083,0,18964,0,0,14621,0,4,0,4,4,4,14223,0,0,8380,0,14223,NA,NA,8380,NA
Zaporizka,UA23,51+ km,50+,UA23_U51P,1450,0,0,0,1034,0,0,0,0,821,0,0,0,3,4,4,0,0,0,290,0,0,NA,NA,290,NA
