adm1_en,adm1_pcode,population_total,people_affected,people_in_need,planned_reach,severity_max,response_coverage
Cherkaska,UA71,1144765,92461,78628,11794,3,0.1499974563768632
Chernihivska,UA74,877451,203108.47509333258,107711,81685,5,0.7583719397276044
Chernivetska,UA73,654523,40403,34246,16161,3,0.4719091280733516
Dnipropetrovska,UA12,3178714,969369.748157433,707490,506308,5,0.7156397970289333
Donetska,UA14,241666,448923.320498224,302815,252858,5,0.83502468503872
Ivano-Frankivska,UA26,1017673,69755,62082,9809,3,0.15800070874005348
Kharkivska,UA63,1803453,2026767.642459522,1250803,997251,5,0.7972886217893626
Khersonska,UA65,107352,211085.72989940672,140476,121596,5,0.8655998177624648
Khmelnytska,UA68,1050318,65112,60289,15072,3,0.24999585330657334
Kirovohradska,UA35,831830,61952,52171,26086,3,0.5000095838684326
Kyiv,UA80,3394193,213148,184996,42875,3,0.23176176782200697
Kyivska,UA32,2635448,198646,168548,84209,3,0.4996143531812896
Lvivska,UA46,2287053,131461,117001,58501,3,0.5000042734677481
Mykolaivska,UA48,789059,486656.3767419766,297886,232749,5,0.7813358130291453
Odeska,UA51,2125236,155031,137977,68989,3,0.5000036237923712
Poltavska,UA53,1339398,125118,108114,54057,3,0.5
Rivnenska,UA56,958785,39571,35218,6925,3,0.1966324038843773
Sumska,UA59,791358,996906.103959225,545851,437067,5,0.8007075190848785
Ternopilska,UA61,729060,53239,47383,10238,3,0.21606905430217588
Vinnytska,UA05,1346645,88646,71599,34095,3,0.47619380158940766
Volynska,UA07,915568,31262,26453,11761,3,0.44459985634899635
Zakarpatska,UA21,841388,59270,52751,10702,3,0.20287767056548692
Zaporizka,UA23,797185,914948.7844835798,640234,399024,5,0.6232471252698232
Zhytomyrska,UA18,1081427,53364,42407,10107,3,0.23833329403164571
