adm1_en,adm1_pcode,geo_zone,swath,uo_a_code,overall_all_total_joint,overall_aff_sp1_joint,overall_aff_sp2_joint,overall_aff_sp3_joint,overall_aff_sp4_joint,overall_aff_sp5_joint,overall_aff_total_joint,overall_pin_sp1_joint,overall_pin_sp2_joint,overall_pin_sp3_joint,overall_pin_sp4_joint,overall_pin_sp5_joint,overall_pin_total_joint,overall_sev_sp1_joint,overall_sev_sp2_joint,overall_sev_sp3_joint,overall_sev_sp4_joint,overall_sev_total_joint,overall_target_sp1_joint,overall_target_sp2_joint,overall_target_sp3_joint,overall_target_sp4_joint,overall_target_total_joint,overall_target_pr_sp1_joint,overall_target_pr_sp2_joint,overall_target_pr_sp3_joint,overall_target_pr_sp4_joint,overall_target_pr_total_joint
Vinnytska,UA05,All oblast,50+,UA05_UALL,1346645,0,0,0,88646,0,0,0,0,0,71599,0,0,0,0,3,3,3,0,0,0,34095,0,0,0,0,34095,0
Volynska,UA07,All oblast,50+,UA07_UALL,915568,0,0,0,31262,0,0,0,0,0,26453,0,0,0,0,3,3,3,0,0,0,11761,0,0,0,0,11761,0
Dnipropetrovska,UA12,0-20 km,0-20km,UA12_U20A,228268,228268,0,0,228268,0,0,210709,0,0,89572,0,0,5,4,5,5,5,210709,0,0,40036,0,210709,0,0,40036,0
Dnipropetrovska,UA12,21-50 km,20-50km,UA12_U50A,164650,98942.748157433,0,0,88538,0,0,82212,0,0,48204,0,0,4,0,4,4,4,80620,0,0,36546,0,80620,0,0,36546,0
Dnipropetrovska,UA12,51+ km,50+,UA12_U51P,2785796,0,0,0,325353,0,0,0,0,0,276793,0,0,0,0,3,4,4,0,0,0,138397,0,0,0,0,138397,0
Donetska,UA14,0-20 km,0-20km,UA14_U20A,180210,180210,0,0,180210,0,0,167637,0,0,79143,0,0,5,4,5,5,5,167637,0,0,32596,0,167637,0,0,32596,0
Donetska,UA14,21-50 km,20-50km,UA14_U50A,61456,45700.320498224006,0,0,42803,0,0,38016,0,0,18019,0,0,5,0,4,5,5,37090,0,0,15535,0,37090,0,0,15535,0
Zhytomyrska,UA18,All oblast,50+,UA18_UALL,1081427,0,0,0,53364,0,0,0,0,0,42407,0,0,0,0,3,3,3,0,0,0,10107,0,0,0,0,2021,0
Zakarpatska,UA21,All oblast,50+,UA21_UALL,841388,0,0,0,59270,0,0,0,0,0,52751,0,0,0,0,3,3,3,0,0,0,10702,0,0,0,0,2140,0
Zaporizka,UA23,0-20 km,0-20km,UA23_U20A,57720,57720,0,0,57720,0,0,57720,0,0,25078,0,0,5,4,5,5,5,57720,0,0,11040,0,57720,0,0,11040,0
Zaporizka,UA23,21-50 km (w/o Zaporizhzhia),20-50km,UA23_U50X,72784,42291.22634404577,0,0,36140,0,0,37016,0,0,20859,0,0,4,0,4,4,4,26257,0,0,14618,0,26257,0,0,14618,0
Zaporizka,UA23,51+ km,50+,UA23_U51P,4512,0,0,0,1034,0,0,0,0,0,821,0,0,0,0,3,4,4,0,0,0,290,0,0,0,0,290,0
Zaporizka,UA23,Zaporizhzhia city,20-50km,UA23_UCAP,662169,378173.5581395343,0,0,341870,0,0,342542,0,0,156198,0,0,4,0,4,4,4,227145,0,0,61954,0,227145,0,0,61954,0
Ivano-Frankivska,UA26,All oblast,50+,UA26_UALL,1017673,0,0,0,69755,0,0,0,0,0,62082,0,0,0,0,3,3,3,0,0,0,9809,0,0,0,0,1962,0
Kyivska,UA32,All oblast,50+,UA32_UALL,2635448,0,0,0,198646,0,0,0,0,0,168548,0,0,0,0,3,3,3,0,0,0,84209,0,0,0,0,84209,0
Kirovohradska,UA35,All oblast,50+,UA35_UALL,831830,0,0,0,61952,0,0,0,0,0,52171,0,0,0,0,3,3,3,0,0,0,26086,0,0,0,0,26086,0
