adm3_en,adm3_pcode,adm2_en,adm2_pcode,adm1_en,adm1_pcode,control,zone_desc,swath,uo_a_code,sp1_hromadas,sp2_hromadas,sp3_hromadas,sp4_hromadas
Ahronomichna,UA0502001,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Vinnytska,UA0502003,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Voronovytska,UA0502005,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Hnivanska,UA0502007,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Illinetska,UA0502009,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Lypovetska,UA0502011,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Litynska,UA0502013,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Luka-Meleshkivska,UA0502015,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Nemyrivska,UA0502017,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Orativska,UA0502019,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Pohrebyshchenska,UA0502021,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Stryzhavska,UA0502023,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Sutyskivska,UA0502025,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Tyvrivska,UA0502027,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Turbivska,UA0502029,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Yakushynetska,UA0502031,Vinnytskyi,UA0502,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Bershadska,UA0504001,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Haisynska,UA0504003,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Dashivska,UA0504005,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Dzhulynska,UA0504007,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Krasnopilska,UA0504009,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Kunkivska,UA0504011,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Ladyzhynska,UA0504013,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Obodivska,UA0504015,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Olhopilska,UA0504017,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Raihorodska,UA0504019,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Sobolivska,UA0504021,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Teplytska,UA0504023,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Trostianetska,UA0504025,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Chechelnytska,UA0504027,Haisynskyi,UA0504,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Barska,UA0506001,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Dzhurynska,UA0506003,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Zhmerynska,UA0506005,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Kopaihorodska,UA0506007,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Murafska,UA0506009,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Severynivska,UA0506011,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Stanislavchytska,UA0506013,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Sharhorodska,UA0506015,Zhmerynskyi,UA0506,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Babchynetska,UA0508001,Mohyliv-Podilskyi,UA0508,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Vendychanska,UA0508003,Mohyliv-Podilskyi,UA0508,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Mohyliv-Podilska,UA0508005,Mohyliv-Podilskyi,UA0508,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Murovanokurylovetska,UA0508007,Mohyliv-Podilskyi,UA0508,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Chernivetska,UA0508009,Mohyliv-Podilskyi,UA0508,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Yampilska,UA0508011,Mohyliv-Podilskyi,UA0508,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Yaryshivska,UA0508013,Mohyliv-Podilskyi,UA0508,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Bratslavska,UA0510001,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Vapniarska,UA0510003,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Horodkivska,UA0510005,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Kryzhopilska,UA0510007,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Pishchanska,UA0510009,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Studenianska,UA0510011,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Tomashpilska,UA0510013,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Tulchynska,UA0510015,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Shpykivska,UA0510017,Tulchynskyi,UA0510,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Hlukhovetska,UA0512001,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Zhdanivska,UA0512003,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Ivanivska,UA0512005,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Kalynivska,UA0512007,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Koziatynska,UA0512009,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Makhnivska,UA0512011,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Samhorodotska,UA0512013,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Ulanivska,UA0512015,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Khmilnytska,UA0512017,Khmilnytskyi,UA0512,Vinnytska,UA05,UA,51+ km (not frontline region),50+,UA05_UALL,NA,NA,1,1
Volodymyr-Volynska,UA0702001,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Zaturtsivska,UA0702003,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Zymnivska,UA0702005,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Ivanychivska,UA0702007,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Lytovezka,UA0702009,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Lokachynska,UA0702011,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Novovolynska,UA0702013,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Ovadnivska,UA0702015,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Pavlivska,UA0702017,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Poromivska,UA0702019,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Ustyluzka,UA0702021,Volodymyrskyi,UA0702,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Kamin-Kashyrska,UA0704001,Kamin-Kashyrskyi,UA0704,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Liubeshivska,UA0704003,Kamin-Kashyrskyi,UA0704,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Manevytska,UA0704005,Kamin-Kashyrskyi,UA0704,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Prylisnenska,UA0704007,Kamin-Kashyrskyi,UA0704,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Soshychnenska,UA0704009,Kamin-Kashyrskyi,UA0704,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Velymchenska,UA0706001,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Velytska,UA0706003,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Vyshnivska,UA0706005,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Holobska,UA0706007,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Holovnenska,UA0706009,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Dubechnenska,UA0706011,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Dubivska,UA0706013,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Zabolottivska,UA0706015,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Zabrodivska,UA0706017,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Kovelska,UA0706019,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Kolodiazhnenska,UA0706021,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Lukivska,UA0706023,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Liublynetska,UA0706025,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Liubomlska,UA0706027,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Povorska,UA0706029,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Ratnivska,UA0706031,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Rivnenska,UA0706033,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Samarivska,UA0706035,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Serekhovychivska,UA0706037,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Smidynska,UA0706039,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Starovyzhivska,UA0706041,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Turiiska,UA0706043,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Shatska,UA0706045,Kovelskyi,UA0706,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Berestechkivska,UA0708001,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Boratynska,UA0708003,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Horodyshchenska,UA0708005,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Horokhivska,UA0708007,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Dorosynivska,UA0708009,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Kivertsivska,UA0708011,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Kolkivska,UA0708013,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Kopachivska,UA0708015,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Lutska,UA0708017,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Marianivska,UA0708019,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Olytska,UA0708021,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Pidhaitsivska,UA0708023,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Rozhyshchenska,UA0708025,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Torchynska,UA0708027,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Tsumanska,UA0708029,Lutskyi,UA0708,Volynska,UA07,UA,51+ km (not frontline region),50+,UA07_UALL,NA,NA,1,1
Hrushivska,UA1206009,Kryvorizkyi,UA1206,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Zelenodolska,UA1206013,Kryvorizkyi,UA1206,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Marhanetska,UA1208001,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Myrivska,UA1208003,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Nikopolska,UA1208005,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Pokrovska,UA1208011,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Chervonohryhorivska,UA1208015,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Velykomykhailivska,UA1214005,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Malomykhailivska,UA1214013,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Mezhivska,UA1214015,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Novopavlivska,UA1214019,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,0-20 km,0-20km,UA12_U20A,1,1,1,1
Apostolivska,UA1206001,Kryvorizkyi,UA1206,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Nyvotrudivska,UA1206021,Kryvorizkyi,UA1206,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Mozolevska,UA1208007,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Pokrovska,UA1208009,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Tomakivska,UA1208013,Nikopolskyi,UA1208,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Dubovykivska,UA1214007,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Mykolaivska,UA1214017,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Shakhtarska,UA1214021,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Petropavlivska,UA1214023,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Pokrovska,UA1214025,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Slovianska,UA1214035,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Ukrainska,UA1214037,Synelnykivskyi,UA1214,Dnipropetrovska,UA12,UA,21-50 km,20-50km,UA12_U50A,1,NA,1,1
Dniprovska,UA1202001,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Kytaihorodska,UA1202003,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Liubymivska,UA1202005,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Liashkivska,UA1202007,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Mykolaivska,UA1202009,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Mohylivska,UA1202011,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Novooleksandrivska,UA1202013,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Novopokrovska,UA1202015,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Obukhivska,UA1202017,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Petrykivska,UA1202019,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Pidhorodnenska,UA1202021,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Sviatovasylivska,UA1202023,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Slobozhanska,UA1202025,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Solonianska,UA1202027,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Sursko-Lytovska,UA1202029,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Tsarychanska,UA1202031,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Chumakivska,UA1202033,Dniprovskyi,UA1202,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Bozhedarivska,UA1204001,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Verkhivtsivska,UA1204003,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Verkhnodniprovska,UA1204005,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Vyshnivska,UA1204007,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Vilnohirska,UA1204009,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Zhovtovodska,UA1204011,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Zatyshnianska,UA1204013,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Kamianska,UA1204015,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Krynychanska,UA1204017,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Lykhivska,UA1204019,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
Piatykhatska,UA1204021,Kamianskyi,UA1204,Dnipropetrovska,UA12,UA,51+ km (frontline region),50+,UA12_U51P,NA,NA,1,1
