adm1_en,adm1_pcode,geo_zone,swath,uo_a_code,ndp_all_total_joint,ndp_aff_sp1_joint,ndp_aff_sp2_joint,ndp_aff_sp3_joint,ndp_aff_sp4_joint,ndp_aff_sp5_joint,ndp_aff_total_joint,ndp_pin_sp1_joint,ndp_pin_sp2_joint,ndp_pin_sp3_joint,ndp_pin_sp4_joint,ndp_pin_sp5_joint,ndp_pin_total_joint,ndp_sev_sp1_joint,ndp_sev_sp2_joint,ndp_sev_sp3_joint,ndp_sev_sp4_joint,ndp_sev_total_joint,ndp_target_sp1_joint,ndp_target_sp2_joint,ndp_target_sp3_joint,ndp_target_sp4_joint,ndp_target_total_joint,ndp_target_pr_sp1_joint,ndp_target_pr_sp2_joint,ndp_target_pr_sp3_joint,ndp_target_pr_sp4_joint,ndp_target_pr_total_joint
Vinnytska,UA05,All oblast,50+,UA05_UALL,1222241,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Volynska,UA07,All oblast,50+,UA07_UALL,870618,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Dnipropetrovska,UA12,0-20 km,0-20km,UA12_U20A,204922,204922,0,0,204922,0,0,189159,0,0,80411,0,0,5,-,5,5,5,189159,0,0,38291,0,189159,NA,NA,38291,NA
Dnipropetrovska,UA12,21-50 km,20-50km,UA12_U50A,127043,61335.748157433,0,0,61336,0,0,49977,0,0,22556,0,0,4,-,4,4,4,49977,0,0,22556,0,49977,NA,NA,22556,NA
Dnipropetrovska,UA12,51+ km,50+,UA12_U51P,2329387,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Donetska,UA14,0-20 km,0-20km,UA14_U20A,152005,152005,0,0,152005,0,0,141400,0,0,66756,0,0,5,-,5,5,5,141400,0,0,30344,0,141400,NA,NA,30344,NA
Donetska,UA14,21-50 km,20-50km,UA14_U50A,50984,35228.320498224006,0,0,35228,0,0,28591,0,0,10783,0,0,5,-,4,5,5,28591,0,0,10783,0,28591,NA,NA,10783,NA
Zhytomyrska,UA18,All oblast,50+,UA18_UALL,1000709,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Zakarpatska,UA21,All oblast,50+,UA21_UALL,756167,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3,0,3,0,0,0,0,0,0,NA,NA,0,NA
Zaporizka,UA23,0-20 km,0-20km,UA23_U20A,50450,50450,0,0,50450,0,0,50450,0,0,21919,0,0,5,-,5,5,5,50450,0,0,10438,0,50450,NA,NA,10438,NA
