adm1_en,adm1_pcode,non_displaced_total,non_displaced_in_need,non_displaced_planned_reach,non_displaced_severity_max
Cherkaska,UA71,1015007,0,0,3
Chernihivska,UA74,833497,82398,72211,5
Chernivetska,UA73,596430,0,0,3
Dnipropetrovska,UA12,2661352,342103,299983,5
Donetska,UA14,202989,247530,211118,5
Ivano-Frankivska,UA26,917376,0,0,3
Kharkivska,UA63,1488799,850205,702868,5
Khersonska,UA65,90099,117179,102693,5
Khmelnytska,UA68,956697,0,0,3
Kirovohradska,UA35,744887,0,0,3
Kyiv,UA80,3034506,0,0,3
Kyivska,UA32,2286455,0,0,3
Lvivska,UA46,2098033,0,0,3
Mykolaivska,UA48,699400,195633,158448,5
Odeska,UA51,1903226,0,0,3
Poltavska,UA53,1163810,0,0,3
Rivnenska,UA56,903653,0,0,3
Sumska,UA59,711991,457381,371030,5
Ternopilska,UA61,652511,0,0,3
Vinnytska,UA05,1222241,0,0,3
Volynska,UA07,870618,0,0,3
Zakarpatska,UA21,756167,0,0,3
Zaporizka,UA23,635010,409542,240345,5
Zhytomyrska,UA18,1000709,0,0,3
