adm1_en,people_in_need,planned_reach,response_coverage,severity_max
Kharkivska,1250803,997251,0.7972886217893626,5
Dnipropetrovska,707490,506308,0.7156397970289333,5
Zaporizka,640234,399024,0.6232471252698232,5
Sumska,545851,437067,0.8007075190848785,5
Donetska,302815,252858,0.83502468503872,5
Mykolaivska,297886,232749,0.7813358130291453,5
Khersonska,140476,121596,0.8655998177624648,5
Chernihivska,107711,81685,0.7583719397276044,5
Kyiv,184996,42875,0.23176176782200697,3
Kyivska,168548,84209,0.4996143531812896,3
Odeska,137977,68989,0.5000036237923712,3
Lvivska,117001,58501,0.5000042734677481,3
Poltavska,108114,54057,0.5,3
Cherkaska,78628,11794,0.1499974563768632,3
Vinnytska,71599,34095,0.47619380158940766,3
Ivano-Frankivska,62082,9809,0.15800070874005348,3
Khmelnytska,60289,15072,0.24999585330657337,3
Zakarpatska,52751,10702,0.20287767056548692,3
Kirovohradska,52171,26086,0.5000095838684326,3
Ternopilska,47383,10238,0.21606905430217588,3
Zhytomyrska,42407,10107,0.23833329403164571,3
Rivnenska,35218,6925,0.1966324038843773,3
Chernivetska,34246,16161,0.4719091280733516,3
Volynska,26453,11761,0.44459985634899635,3
