adm1_en,people_in_need,planned_reach,response_coverage,severity_max
Cherkaska,78628,11794,0.1499974563768632,3
Ivano-Frankivska,62082,9809,0.15800070874005348,3
Rivnenska,35218,6925,0.1966324038843773,3
Zakarpatska,52751,10702,0.20287767056548692,3
Ternopilska,47383,10238,0.21606905430217588,3
Kyiv,184996,42875,0.23176176782200697,3
Zhytomyrska,42407,10107,0.23833329403164571,3
Khmelnytska,60289,15072,0.24999585330657337,3
Volynska,26453,11761,0.44459985634899635,3
Chernivetska,34246,16161,0.4719091280733516,3
