adm1_en,people_in_need,planned_reach,response_coverage,severity_max
Kharkivska,1250803,997251,0.7972886217893626,5
Dnipropetrovska,707490,506308,0.7156397970289333,5
Zaporizka,640234,399024,0.6232471252698232,5
Sumska,545851,437067,0.8007075190848785,5
Donetska,302815,252858,0.83502468503872,5
Mykolaivska,297886,232749,0.7813358130291453,5
Kyiv,184996,42875,0.23176176782200697,3
Kyivska,168548,84209,0.4996143531812896,3
Khersonska,140476,121596,0.8655998177624648,5
Odeska,137977,68989,0.5000036237923712,3
